,date,value
783,2021-08-18,59.11
784,2021-08-19,57.03
785,2021-08-20,54.56
786,2021-08-23,57.79
787,2021-08-24,60.17
788,2021-08-25,46.4
789,2021-08-26,46.17
790,2021-08-27,46.24
791,2021-08-30,46.17
792,2021-08-31,45.67
793,2021-09-01,46.78
794,2021-09-02,47.67
795,2021-09-03,48.09
796,2021-09-06,47.78
797,2021-09-07,46.71
798,2021-09-08,47.82
799,2021-09-09,46.01
800,2021-09-10,46.82
801,2021-09-13,45.36
802,2021-09-14,43.28
803,2021-09-15,41.77
804,2021-09-16,37.19
805,2021-09-17,38.3
806,2021-09-20,34.65
807,2021-09-21,36.8
808,2021-09-23,41.49
809,2021-09-24,41.22
810,2021-09-27,40.3
811,2021-09-28,43.18
812,2021-09-29,44.6
813,2021-09-30,47.25
814,2021-10-04,47.29
815,2021-10-05,45.79
816,2021-10-06,43.95
817,2021-10-07,45.21
818,2021-10-08,46.83
819,2021-10-11,48.36
820,2021-10-12,48.02
821,2021-10-15,48.17
822,2021-10-18,47.63
823,2021-10-19,46.83
824,2021-10-20,49.17
825,2021-10-21,50.78
826,2021-10-22,50.57
827,2021-10-25,49.95
828,2021-10-26,49.22
829,2021-10-27,47.76
830,2021-10-28,48.03
831,2021-10-29,46.5
832,2021-11-01,45.0
833,2021-11-02,44.23
834,2021-11-03,44.61
835,2021-11-04,43.34
836,2021-11-05,42.31
837,2021-11-08,41.77
838,2021-11-09,42.58
839,2021-11-10,44.5
840,2021-11-11,46.73
841,2021-11-12,48.11
842,2021-11-15,45.34
843,2021-11-16,47.3
844,2021-11-17,45.3
845,2021-11-18,45.3
846,2021-11-19,41.27
847,2021-11-22,39.69
848,2021-11-23,39.81
849,2021-11-24,37.85
850,2021-11-25,38.04
851,2021-11-26,38.25
852,2021-11-29,38.25
853,2021-11-30,37.92
854,2021-12-01,37.84
855,2021-12-02,37.52
856,2021-12-03,37.28
857,2021-12-06,37.56
858,2021-12-07,41.75
859,2021-12-08,41.79
860,2021-12-09,43.68
861,2021-12-10,43.35
862,2021-12-13,42.31
863,2021-12-14,38.01
864,2021-12-15,38.73
865,2021-12-16,40.94
866,2021-12-17,40.54
867,2021-12-20,38.21
868,2021-12-21,38.97
869,2021-12-22,39.05
870,2021-12-23,38.65
871,2021-12-24,38.13
872,2021-12-28,38.25
873,2021-12-29,36.6
874,2021-12-30,36.9
875,2021-12-31,37.54
876,2022-01-03,35.85
877,2022-01-04,35.49
878,2022-01-05,32.44
879,2022-01-06,31.95
880,2022-01-07,32.44
881,2022-01-10,35.17
882,2022-01-11,36.58
883,2022-01-12,36.49
884,2022-01-13,34.73
885,2022-01-14,34.89
886,2022-01-17,31.71
887,2022-01-18,31.51
888,2022-01-19,34.16
889,2022-01-20,39.47
890,2022-01-21,39.03
891,2022-01-24,38.91
892,2022-01-25,38.18
893,2022-01-26,37.9
894,2022-01-27,36.82
895,2022-01-28,37.18
896,2022-01-31,36.86
897,2022-02-04,39.35
898,2022-02-07,39.39
899,2022-02-08,38.02
900,2022-02-09,39.71
901,2022-02-10,41.44
902,2022-02-11,43.69
903,2022-02-14,40.76
904,2022-02-15,40.84
905,2022-02-16,40.55
906,2022-02-17,40.31
907,2022-02-18,41.48
908,2022-02-21,41.92
909,2022-02-22,40.63
910,2022-02-23,40.55
911,2022-02-24,38.14
912,2022-02-25,38.5
913,2022-02-28,37.54
914,2022-03-01,38.5
915,2022-03-02,36.01
916,2022-03-03,36.62
917,2022-03-04,36.37
918,2022-03-07,35.93
919,2022-03-08,32.76
920,2022-03-09,32.44
921,2022-03-10,31.03
922,2022-03-11,29.94
923,2022-03-14,23.51
924,2022-03-15,20.5
925,2022-03-16,23.91
926,2022-03-17,31.19
927,2022-03-18,29.62
928,2022-03-21,27.89
929,2022-03-22,29.9
930,2022-03-23,29.02
931,2022-03-24,27.01
932,2022-03-25,26.03
933,2022-03-28,26.43
934,2022-03-29,21.35
935,2022-03-30,23.43
936,2022-03-31,22.92
937,2022-04-01,22.58
938,2022-04-04,26.22
939,2022-04-06,26.5
940,2022-04-07,26.04
941,2022-04-08,27.37
942,2022-04-11,24.88
943,2022-04-12,24.4
944,2022-04-13,24.81
945,2022-04-14,26.41
946,2022-04-19,24.95
947,2022-04-20,22.28
948,2022-04-21,21.7
949,2022-04-22,21.84
950,2022-04-25,20.48
951,2022-04-26,21.47
952,2022-04-27,21.47
953,2022-04-28,21.7
954,2022-04-29,23.1
955,2022-05-03,23.62
956,2022-05-04,22.49
957,2022-05-05,21.64
958,2022-05-06,19.49
959,2022-05-10,17.44
960,2022-05-11,18.19
961,2022-05-12,17.37
962,2022-05-13,19.18
963,2022-05-16,20.17
964,2022-05-17,20.68
965,2022-05-18,21.16
